ID	NOME
aHcfwYU2UNz5mdR3QWed	Quiche 4 Queijos
amdse0ylXt5b4mPoq5qM	Carne Louca
aoZ1nSBkZKhHpd1NkOZw	Farofa com couve e ovos
azG3DpDWp8gvQMteO32V	Arroz integral com abobrinha ralada
b1hXyZFc9hqdMxGPcaS8	Lombo à milanesa
bV3GVx158KBlizWmnDhH	Brócolis Cremoso
bXxACK4hfgJPQlA10TaO	R. Vagem com Cenoura
bZp7DwAFlQ5bgtGj0iaK	Sofiatelli de Tomate Seco
bqNtQPigqTknlzsa4qHy	Carne Moída
bs0n2Z5yxIGGTK5WkkFt	Creme de Milho
buJ6S3JPNOQsSiwPO4zd	Arroz integral com milho e ervilha
cXddlAtWcCVglPpaz6qT	Farofa com couve
cykeRtfjfLhYExloxgSf	S. Alface
d70RrYGBStmdiMBodr9t	Feijão
dKzSz56clp7jITmmwDSq	Yakisoba
dMXpRJurfFOSNYag4J8I	Maminha ao Molho de Cerveja
dQQebTcmg6NT7DY932ay	Farofa de Alho
dnidX366RFanfOkpPapD	Purê de cabotiá
dtPM7MXoQZLtZ7rqEndY	Tomate Recheado
duj6lhnSbDm5a4yv7DRk	S. Cenoura
e1uCmLYjle7dVFOfnkAy	S. Batata
e4emiCIQJVKzVM97iJco	Bolo de Chocolate
e8tlcS5yJTCXISyKpenk	Carne com Batata
eRMOoY04sNJjcRGzlJU0	S. Repolho Roxo
eY7TZG3DNZ8s4BBQ5T25	Carne ao Molho de Vinho
ecJDHv67tOvvCgWaJWzY	Farofa com cenoura e cheiro verde
f3EkI3Cj0g9Z9cbjAFT4	S. Agrião
fEsT72R3q8ekI2g5HezR	Galinhada
fcfx5yj02CCbffOOTQE0	Sofiatelli de Abobrinha
g3Y0XcCpR8dxyJ4KTKrT	Moqueca de peixe
gFGGW1d2ZFbZLr6ZiTTX	S. Abobrinha
gNTO2QmqhXDmXcvOTMXk	S. Pepino
gShg08ziBbKq0Zc8kIuv	S. Repolho
gnnU55cuySKYeMij9mGS	Couve Flor à Milanesa
h2tPq6APOokoWkJJnILH	Lasanha Bolonhesa
hA8jMBkcxX6tJUVcg6jh	Mini Pães
hHfCQ5p7HF3G7CHIJ9K0	R. Quiabo
hNohi8SM1aWFvX4ouwqI	Creme de Espinafre
hP4wje5NJmwm1bvq3os4	Arroz Integral com Cenoura
hQtctUE0YPgMp6X5b6Yy	R. Chuchu
hW0aJDIP7HrvAL8DJ8lD	S. Brócolis
hWCRknVRrYexxAwFE4GF	Lombo Assado
hcILwyJAkux8ZGuGIiqi	Lombo Supremo
hzujya7Zk4E4TOg6W9a2	Caneloni de brócolis
iIJMw82N2e7TmQxwZs9R	S. Acelga
iW8udczfnN6IQfqxhZDI	Picanha Assada (Suína)
iXJmPofhgjoKtXMNI2U4	Frango Assado com Crosta de Parmesão
iXd0DWZhucp4gwiPlVcq	Mandioca Frita
if45p6GbSHhs1Ldp4GFE	S. Batata Doce
iqZPJmIzALrHymKLarr7	Frango com Quiabo
j1xK6yNLX9EjnTfSKpxY	Polenta Cremosa
j2b2oT81DbPnJIA3Zgbc	Filé de Frango Acebolado
jOOBZlaVpcLXUVqtjYLl	Torta de Frango
jRoW5BsXmxo8KlUO5EIy	R. Acelga
jkDnCIPPRGsSCKDoxg5l	Iscas de Frango com Requeijão
k4LstydTZOwyyngMi5Th	Lasanha de Abobrinha
kG2eh38A31L6qFuNf4iS	Creme de Mandioca com Bacon
kMpSLriSUKenlAjJDREO	Cabotiá assado (fatia)
kXGoxWfB4NCqgWNRSJIK	Arroz integral com couve
kiwJ59ssm7WpX0o4HjRp	Pernil Desfiado
lBHQeo4HqdIKCSEjySFC	Esc. de Brócolis
lj1Ud3O2607VNO5yEJyL	Drumet Empanado
mG25uVs7WZ1HlywyRWp3	S. Coalhada
miti9pBXCN3i2N3TQWlJ	Batata Souté
mmGLC3xZ0lMoHYWHTyR9	Bolo Formigueiro
mnNY8pB8p1ypYR6Rwc5A	S. Chuchu
nBT4bbiVT3EHOiUOrjSV	S. Vagem com Cenoura
nHbAuK3SLctlqsVkPelw	Pernil com Molho Chimichurri
nKHZmgkksAShAbr17ACH	Creme de Ervilha
nb5ulyjtBGeltjpGfYk8	Macarrão à Bolonhesa
nzluBmN2xYc0G8ur04lM	S. Tabule
o200LFJuUdwglK4RCsiy	R. Brócolis e Cenoura
o7N0fP9AXKOU9FbNFega	S. Rúcula
ouAF0wmsVdcTMqFNWHlP	Polenta Frita
pRZarB1c6rSp69hCBtEg	Frango Acebolado
pWtR4OODbDCnIlBShtyl	Drumet Assado
pZKrLO9HQPgAFVHHkb49	Batata Palha
pmVBV4ZTWotwHZPY6jw8	Pão de Alho
q7e1yxEVr9IvQulmNsMG	Moqueca de Legumes
q8EHNuXuSZjCSA12E9UJ	Polpetone de Carne
r2bavTYgDNJX7u2kveKf	Frango à Milanesa
r9xw6Pm4MhyY54tp9HHH	Lombo Cuiabano
rBUVDR1lKgVRcVRY7YWE	Pãezinhos Recheados com Presunto e Queijo
rEJrClYfJKdamTFVn6MH	Banana à Milanesa
rb4sc4JrteH8PdnYSlNb	Lombo Recheado
rimWSPnMpgLs2PNw2b8W	Bife ao Molho
rq3rVCcx9cbRm3bDrziD	Hambúrguer de Frango e Calabresa
sAYOsdBIhfRptqNschXR	S. Couve Flor com Cenoura
sVRFpBV5FRGpqgtHqozB	S. Beterraba Ralada
sWLWFLwoKlSBHnXmnGho	Calabresa Gratinada
scghCjyWm6cJrPkF4Vmb	Nhoque ao Sugo
shdPnWQu2t6wUcF6CttG	Lasanha à Bolonhesa
swtJTEEvn1L0YJUl3pwA	Frango Supremo
szCRtzVLp7VJjngvuUUO	Escond. de Pernil
t5AIvV5GVJqnnhiOyUCr	Cuscuz
